index,spatial_ref,AvgSurfT_tavg,time,lat,lon
0,0,,2015-08-25,32.625,-124.125
1,0,,2015-08-25,32.625,-123.875
2,0,,2015-08-25,32.625,-123.625
3,0,,2015-08-25,32.625,-123.375
4,0,,2015-08-25,32.625,-123.125
5,0,,2015-08-25,32.625,-122.875
6,0,,2015-08-25,32.625,-122.625
7,0,,2015-08-25,32.625,-122.375
8,0,,2015-08-25,32.625,-122.125
9,0,,2015-08-25,32.625,-121.875
10,0,,2015-08-25,32.625,-121.625
11,0,,2015-08-25,32.625,-121.375
12,0,,2015-08-25,32.625,-121.125
13,0,,2015-08-25,32.625,-120.875
14,0,,2015-08-25,32.625,-120.625
15,0,,2015-08-25,32.625,-120.375
16,0,,2015-08-25,32.625,-120.125
17,0,,2015-08-25,32.625,-119.875
18,0,,2015-08-25,32.625,-119.625
19,0,,2015-08-25,32.625,-119.375
20,0,,2015-08-25,32.625,-119.125
21,0,,2015-08-25,32.625,-118.875
22,0,,2015-08-25,32.625,-118.625
23,0,,2015-08-25,32.625,-118.375
24,0,,2015-08-25,32.625,-118.125
25,0,,2015-08-25,32.625,-117.875
26,0,,2015-08-25,32.625,-117.625
27,0,,2015-08-25,32.625,-117.375
28,0,298.68427,2015-08-25,32.625,-117.125
29,0,299.9727,2015-08-25,32.625,-116.875
30,0,300.7485,2015-08-25,32.625,-116.625
31,0,301.06787,2015-08-25,32.625,-116.375
32,0,302.51324,2015-08-25,32.625,-116.125
33,0,,2015-08-25,32.625,-115.875
34,0,,2015-08-25,32.625,-115.625
35,0,,2015-08-25,32.625,-115.375
36,0,,2015-08-25,32.625,-115.125
37,0,,2015-08-25,32.625,-114.875
38,0,,2015-08-25,32.625,-114.625
39,0,,2015-08-25,32.625,-114.375
40,0,,2015-08-25,32.875,-124.125
41,0,,2015-08-25,32.875,-123.875
42,0,,2015-08-25,32.875,-123.625
43,0,,2015-08-25,32.875,-123.375
44,0,,2015-08-25,32.875,-123.125
45,0,,2015-08-25,32.875,-122.875
46,0,,2015-08-25,32.875,-122.625
47,0,,2015-08-25,32.875,-122.375
48,0,,2015-08-25,32.875,-122.125
49,0,,2015-08-25,32.875,-121.875
50,0,,2015-08-25,32.875,-121.625
51,0,,2015-08-25,32.875,-121.375
52,0,,2015-08-25,32.875,-121.125
53,0,,2015-08-25,32.875,-120.875
54,0,,2015-08-25,32.875,-120.625
55,0,,2015-08-25,32.875,-120.375
56,0,,2015-08-25,32.875,-120.125
57,0,,2015-08-25,32.875,-119.875
58,0,,2015-08-25,32.875,-119.625
59,0,,2015-08-25,32.875,-119.375
60,0,,2015-08-25,32.875,-119.125
61,0,,2015-08-25,32.875,-118.875
62,0,,2015-08-25,32.875,-118.625
63,0,,2015-08-25,32.875,-118.375
64,0,,2015-08-25,32.875,-118.125
65,0,,2015-08-25,32.875,-117.875
66,0,,2015-08-25,32.875,-117.625
67,0,,2015-08-25,32.875,-117.375
